,usuarios,items,count,Nickname,Registration Date,Transactions Completed,Transactions Canceled,Positive Rating,Negative Rating,Neutral Rating
187,330917104,Samsung s8,2,BLACKBULLAR,2018-06-25T13:35:38.000-04:00,6405,983,0.83,0.1,0.07
188,332813751,Samsung s8,1,PONCEE11,2018-07-02T13:39:14.000-04:00,11,0,1.0,0.0,0.0
189,333535949,Iphone 7,7,NYC STORE,2018-07-04T13:56:03.000-04:00,1375,39,0.98,0.01,0.01
190,333535949,Samsung s8,1,NYC STORE,2018-07-04T13:56:03.000-04:00,1375,39,0.98,0.01,0.01
191,336050562,Samsung s8,1,PONCEMARIADELASMERCEDES,2018-07-12T00:48:50.000-04:00,11,1,1.0,0.0,0.0
192,352700034,Iphone 7,1,SEBASTIANFIORAMONTI,2018-09-08T09:41:06.000-04:00,0,0,0.0,0.0,0.0
193,353368838,Iphone 7,1,DOSA6432346,2018-09-10T22:49:17.000-04:00,1,0,0.0,0.0,1.0
194,355517934,Moto X Style,1,JONATANHASSEL,2018-09-18T14:39:32.000-04:00,1,0,0.0,0.0,1.0
195,377514406,Samsung s8,1,DEPARTAMENTODEALUMNOS,2018-11-13T13:29:15.000-04:00,1,2,0.0,0.0,1.0
196,377788885,Iphone 7,1,FERNANDEZROBERTOAURELIO,2018-11-14T10:59:47.000-04:00,38,5,1.0,0.0,0.0
197,381021311,Iphone 7,3,BRIANDARIOMANLLA,2018-11-26T11:40:17.000-04:00,17,0,1.0,0.0,0.0
198,394240537,Iphone 7,1,SOIS1153976,2019-01-11T17:43:59.000-04:00,25,4,0.86,0.14,0.0
199,418475204,Samsung s8,1,CEPA7640102,2019-03-20T12:22:24.000-04:00,1,3,0.0,0.0,1.0
200,421975021,Samsung s8,1,COMPRATECHAR,2019-04-01T16:26:14.000-04:00,14468,1783,0.79,0.04,0.17
201,436622205,Iphone 7,1,ALBA6637150,2019-05-16T22:25:45.000-04:00,0,1,0.0,0.0,1.0
